DEBUG:[2021-06-02 19:46:24,994] LoggerInterceptor.java:36 - modelAndView = null
DEBUG:[2021-06-02 19:46:24,995] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 19:46:24,996] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 19:53:09,531] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 19:53:09,533] LoggerInterceptor.java:21 - /spring/menu/menu.do
DEBUG:[2021-06-02 19:53:09,533] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 19:53:09,534] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 19:53:09,535] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="menu/menu"; model={}]
DEBUG:[2021-06-02 19:53:10,923] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 19:53:10,924] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 20:06:28,108] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 20:06:28,110] LoggerInterceptor.java:21 - /spring/menu/menu.do
DEBUG:[2021-06-02 20:06:28,111] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 20:06:28,113] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 20:06:28,114] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="menu/menu"; model={}]
DEBUG:[2021-06-02 20:06:28,195] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 20:06:28,196] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 20:09:09,566] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 20:09:09,567] LoggerInterceptor.java:21 - /spring/menu/menu.do
DEBUG:[2021-06-02 20:09:09,568] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 20:09:09,569] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 20:09:09,570] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="menu/menu"; model={}]
DEBUG:[2021-06-02 20:09:09,639] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 20:09:09,641] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 20:10:13,790] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 20:10:13,791] LoggerInterceptor.java:21 - /spring/menu/menu.do
DEBUG:[2021-06-02 20:10:13,793] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 20:10:13,795] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 20:10:13,796] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="menu/menu"; model={}]
DEBUG:[2021-06-02 20:10:13,935] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 20:10:13,937] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 20:12:38,765] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 20:12:38,766] LoggerInterceptor.java:21 - /spring/menu/menu.do
DEBUG:[2021-06-02 20:12:38,767] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 20:12:38,769] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 20:12:38,770] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="menu/menu"; model={}]
DEBUG:[2021-06-02 20:12:40,063] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 20:12:40,063] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 20:12:55,565] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 20:12:55,566] LoggerInterceptor.java:21 - /spring/menu/menu.do
DEBUG:[2021-06-02 20:12:55,566] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 20:12:55,567] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 20:12:55,568] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="menu/menu"; model={}]
DEBUG:[2021-06-02 20:12:55,619] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 20:12:55,623] LoggerInterceptor.java:47 - ____________________end_____________________
INFO :[2021-06-02 20:28:54,268] ContextLoader.java:270 - Root WebApplicationContext: initialization started
INFO :[2021-06-02 20:29:07,893] ContextLoader.java:306 - Root WebApplicationContext initialized in 13609 ms
INFO :[2021-06-02 20:29:08,393] FrameworkServlet.java:524 - Initializing Servlet 'appServlet'
INFO :[2021-06-02 20:29:27,483] FrameworkServlet.java:546 - Completed initialization in 19090 ms
INFO :[2021-06-02 20:30:47,601] ContextLoader.java:270 - Root WebApplicationContext: initialization started
INFO :[2021-06-02 20:31:00,817] ContextLoader.java:306 - Root WebApplicationContext initialized in 13198 ms
INFO :[2021-06-02 20:31:01,277] FrameworkServlet.java:524 - Initializing Servlet 'appServlet'
INFO :[2021-06-02 20:31:16,294] FrameworkServlet.java:546 - Completed initialization in 15014 ms
DEBUG:[2021-06-02 20:31:24,662] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 20:31:24,664] LoggerInterceptor.java:21 - /spring/menu/menu.do
DEBUG:[2021-06-02 20:31:24,665] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 20:31:24,770] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 20:31:24,788] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="menu/menu"; model={}]
DEBUG:[2021-06-02 20:31:28,794] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 20:31:28,795] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 20:31:31,582] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 20:31:31,584] LoggerInterceptor.java:21 - /spring/menu/selectMenuList.do
DEBUG:[2021-06-02 20:31:31,585] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 20:31:31,631] MenuController.java:49 - 응답 json = [{"id":18,"restaurant":"스타동","name":"사케동","price":8400,"type":"jp","taste":"mild"},{"id":17,"restaurant":"대우부대찌게","name":"청국장","price":13000,"type":"kr","taste":"mild"},{"id":16,"restaurant":"산들애","name":"딸기","price":500,"type":"kr","taste":"hot"},{"id":15,"restaurant":"대우부대찌게","name":"부대찌게","price":10000,"type":"kr","taste":"hot"},{"id":14,"restaurant":"봉된장","name":"열무비빔밥+우렁된장","price":7000,"type":"kr","taste":"hot"},{"id":13,"restaurant":"대우부대찌게","name":"부대지게","price":10000,"type":"kr","taste":"hot"},{"id":12,"restaurant":"백운봉","name":"막국수","price":9000,"type":"kr","taste":"hot"},{"id":11,"restaurant":"진가와","name":"자루소바","price":9000,"type":"jp","taste":"mild"},{"id":10,"restaurant":"진가와","name":"자루소면","price":8000,"type":"jp","taste":"mild"},{"id":9,"restaurant":"김남완초밥집","name":"참치도로초밥","price":33000,"type":"jp","taste":"mild"},{"id":8,"restaurant":"김남완초밥집","name":"런치초밥","price":10000,"type":"jp","taste":"mild"},{"id":7,"restaurant":"김남완초밥집","name":"완초밥","price":13000,"type":"jp","taste":"mild"},{"id":6,"restaurant":"짬뽕지존","name":"짬뽕","price":9000,"type":"ch","taste":"mild"},{"id":5,"restaurant":"만리향","name":"짬뽕","price":6000,"type":"ch","taste":"hot"},{"id":4,"restaurant":"만리향","name":"간짜장","price":5000,"type":"ch","taste":"mild"},{"id":3,"restaurant":"장터","name":"뚝배기 김치찌게","price":7000,"type":"kr","taste":"hot"},{"id":2,"restaurant":"두리순대국","name":"순대국","price":7000,"type":"kr","taste":"hot"},{"id":1,"restaurant":"두리순대국","name":"순대국","price":7000,"type":"kr","taste":"mild"}]
DEBUG:[2021-06-02 20:31:31,854] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 20:31:31,855] LoggerInterceptor.java:36 - modelAndView = null
DEBUG:[2021-06-02 20:31:31,856] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 20:31:31,857] LoggerInterceptor.java:47 - ____________________end_____________________
